rs10004195	Helicobacter pylori serologic status
rs13408661	Asthma
rs13414205	Immune reponse to smallpox (secreted TNF-alpha)
rs1341665	Inflammatory biomarkers
rs13420028	Hypertension
rs1342326	Asthma
rs13424612	Odorant perception (isobutyraldehyde)
rs13428812	Crohns disease
rs13428823	Height
rs13429458	Polycystic ovary syndrome
rs13432159	Response to antidepressant treatment
rs13437082	Height
rs1344555	Pulmonary function
rs1346004	Bone mineral density
rs1351164	Height
rs1351394	Height
rs1353747	Breast cancer
rs13538	Chronic kidney disease
rs13538	Metabolite levels  (X-11787)
rs13538	Serum metabolite levels
rs1354034	Mean platelet volume
rs1354034	Platelet counts
rs1354774	Prostate-specific antigen levels
rs1358980	Sexual dimorphism in anthropometric traits
rs1359790	Type 2 diabetes
rs1361108	Menarche (age at onset)
rs1361277	White matter microstructure (global fractional anisotropy)
rs1362756	Optic disc parameters
rs1362931	Lipoprotein-associated phospholipase A2 activity and mass
rs1363907	Inflammatory bowel disease
rs1364063	Menarche (age at onset)
rs1364505	Venous thromboembolism (gene x gene interaction)
rs1366594	Bone mineral density
rs1366594	Bone mineral density (hip)
rs1367117	Cholesterol, total
rs1367117	LDL cholesterol
rs1367117	Lipid metabolism phenotypes
rs1367226	Height
rs1367228	Venous thromboembolism (gene x gene interaction)
rs13702	HDL Cholesterol - Triglycerides (HDLC-TG)
rs1371614	Fasting glucose-related traits (interaction with BMI)
rs1371799	White blood cell count
rs1372072	Primary biliary cirrhosis
rs1372662	Hypertension
rs1373004	Bone mineral density
rs1373692	Crohns disease
rs137686	IgG glycosylation
rs1378942	Blood pressure
rs1378942	Diastolic blood pressure
rs1378942	Systolic blood pressure
rs138315285	Thrombin generation potential phenotypes
rs1385374	Systemic lupus erythematosus
rs1387153	Fasting plasma glucose
rs1387153	Glycated hemoglobin levels
rs1387153	Metabolic syndrome (bivariate traits)
rs1387153	Type 2 diabetes
rs138777	Cholesterol, total
rs1390401	Height
rs1393350	Blue vs. green eyes
rs1393350	Eye color
rs1393350	Melanoma
rs1393350	Tanning
rs1393350	Vitiligo
rs139371	Multiple myeloma (hyperdiploidy)
rs1394125	Chronic kidney disease
rs1394125	Urate levels
rs1397048	Hemostatic factors and hematological phenotypes
rs1398217	Menarche (age at onset)
rs1401454	Blood pressure
rs1401999	Anterior chamber depth
rs1402837	Glycated hemoglobin levels
rs1403155	Immune reponse to smallpox (secreted IL-2)
rs140355816	Colorectal cancer
rs140522	Multiple sclerosis
rs140522	Red blood cell traits
rs1405687	Response to antipsychotic treatment
rs1408272	Hematology traits
rs1408272	Iron status biomarkers
rs1408272	Mean corpuscular hemoglobin
rs1408272	Red blood cell traits
rs1408799	Blue vs. green eyes
rs1410996	Age-related macular degeneration
rs1410996	End-stage coagulation
rs1411478	Progressive supranuclear palsy
rs1412337	Morbidity-free survival
rs1412444	Coronary heart disease
rs1412829	Glioma (high-grade)
rs1415259	Electrocardiographic traits
rs1415701	Height
rs14165	Refractive error
rs1417210	Vitiligo
rs1419881	Chronic hepatitis B infection
rs1420101	Eosinophil counts
rs1420103	Serum protein levels (sST2)
rs1421085	Dietary macronutrient intake
rs1421085	Obesity
rs1421085	Obesity (early onset extreme)
rs1423386	Venous thromboembolism (gene x gene interaction)
rs1424233	Obesity
rs1424760	Phospholipid levels (plasma)
rs1427407	F-cell distribution
rs1430740	Bone mineral density
rs1430742	Bone mineral density (spine)
rs1432295	Hodgkins lymphoma
rs143258881	Alzheimers disease (cognitive decline)
rs1432679	Breast cancer
rs143384	Height
rs1435867	Pulmonary function (interaction)
rs1436109	Cardiac muscle measurement
rs1436904	Breast cancer
rs1438673	Asthma and hay fever
rs1438673	Self-reported allergy
rs1439287	Chronic lymphocytic leukemia
rs14403	Schizophrenia
rs1440581	Metabolite levels
rs1441756	Metabolic syndrome (bivariate traits)
rs1443438	Obesity-related traits
rs1446468	Blood pressure
rs1447295	Prostate cancer
rs1447352	Metabolic traits
rs1449263	White blood cell count
rs1451240	Nicotine dependence
rs1452787	Sclerosing cholangitis and ulcerative colitis (combined)
rs1454694	Non-small cell lung cancer (recurrence rate)
rs1456315	Prostate cancer
rs1456893	Crohns disease
rs1456896	Crohns disease
rs1456896	Inflammatory bowel disease
rs1456988	Graves disease
rs1458038	Blood pressure
rs1458038	Diastolic blood pressure
rs1458038	Systolic blood pressure
rs145848414	Alzheimers disease (late onset)
rs1460163	Creutzfeldt-Jakob disease
rs1461729	HDL cholesterol
rs1463104	Bone mineral density
rs1463605	Aging traits
rs1464510	Celiac disease
rs1464510	Vitiligo
rs1465618	Prostate cancer
rs1465788	Type 1 diabetes
rs1466535	Abdominal aortic aneurysm
rs1468758	Height
rs1469170	Malaria
rs1470579	Type 2 diabetes
rs1471403	Bone mineral density (spine)
rs1471633	Urate levels
rs1472750	Myopia (pathological)
rs1476679	Alzheimers disease (late onset)
rs1476698	Fibrinogen
rs1481012	Gout
rs1481012	Response to statin therapy (LDL-C)
rs1482853	Adiposity in newborns
rs1483121	Fasting glucose-related traits (interaction with BMI)
rs1487630	Crohns disease
rs148763909	Alzheimers disease (cognitive decline)
rs1490384	Height
rs1491942	Parkinsons disease
rs1492820	Height
rs1494961	Upper aerodigestive tract cancers
rs1495741	Bladder cancer
rs1495741	Cholesterol, total
rs1495741	Triglycerides
rs1495743	Metabolic traits
rs1495965	Behcets disease
rs1497406	Gamma gluatamyl transferase levels
rs1497406	Liver enzyme levels (gamma-glutamyl transferase)
rs1501908	LDL cholesterol
rs150611042	Thrombin generation potential phenotypes
rs1508595	Testicular germ cell tumor
rs1509569	Urinary metabolites (H-NMR features)
rs1511412	Keloid
rs151181	Crohns disease
rs1512268	Prostate cancer
rs151361	Mean platelet volume
rs1513670	Bone mineral density (hip)
rs1514174	Obesity
rs1514175	Body mass index
rs1514177	Obesity
rs1516489	Immune response to smallpox vaccine (IL-6)
rs1516725	Body mass index
rs1516725	Obesity
rs1516971	Rheumatoid arthritis
rs1517352	Inflammatory bowel disease
rs1518111	Behcets disease
rs1521	Graves disease
rs1524058	Bone mineral density (spine)
rs15285	Triglycerides-Blood Pressure (TG-BP)
rs1528753	Aging traits
rs1529672	Pulmonary function
rs1529672	Pulmonary function (interaction)
rs1530440	Diastolic blood pressure
rs1531070	Congenital heart malformation
rs1531343	Type 2 diabetes
rs1532085	Cholesterol, total
rs1532085	HDL cholesterol
rs1532085	Lipid metabolism phenotypes
rs1532085	Metabolic syndrome
rs1532085	Metabolite levels
rs1532085	Red blood cell traits
rs1532085	Triglycerides
rs1532278	Alzheimers disease (late onset)
rs1532423	Blood trace element (Zn levels)
rs1532624	Cholesterol
rs1532624	HDL cholesterol
rs1532624	Lipid metabolism phenotypes
rs1534166	Alcohol consumption (transferrin glycosylation)
rs1535	Phospholipid levels (plasma)
rs1535500	Type 2 diabetes
rs1536482	Central corneal thickness
rs1536482	Corneal structure
rs1537370	Coronary artery calcification
rs1537377	Endometriosis
rs1537415	Periodontitis
rs1537424	Thyroid hormone levels
rs153750	Height
rs1538138	Corneal structure
rs1538774	Schizophrenia
rs1539019	Fibrinogen
rs153916	Pulmonary function
rs1540771	Freckles
rs1541160	Amyotrophic lateral sclerosis
rs1541252	Mean corpuscular hemoglobin concentration
rs1542829	Body mass index
rs1545552	Height
rs1545843	Major depressive disorder
rs154657	Homocysteine levels
rs154659	Tanning
rs1547014	Vertical cup-disc ratio
rs1547374	Pancreatic cancer
rs1549318	Proinsulin levels
rs1549519	Height
rs1550532	Bilirubin levels
rs1550532	Calcium levels
rs1550623	Breast cancer
rs1551398	Crohns disease
rs1551570	Narcolepsy
rs1552224	Type 2 diabetes
rs1555543	Body mass index
rs1558324	Mean platelet volume
rs1558648	Serum protein levels (sST2)
rs1558744	Ulcerative colitis
rs1558861	Triglycerides
rs1558902	Body mass index
rs1558902	Obesity
rs1558902	Obesity (early onset extreme)
rs1558902	Waist circumference
rs1559040	Sudden cardiac arrest
rs1561288	Body mass index
rs1561570	Pagets disease
rs1562430	Breast cancer
rs1562990	Alzheimers disease
rs1564348	Cholesterol, total
rs1564348	LDL cholesterol
rs1564892	Corneal structure
rs1564981	Bone mineral density
rs1566039	Sphingolipid levels
rs1566045	Bone mineral density
rs1568679	Response to antipsychotic treatment
rs1569019	Height
rs1569723	Inflammatory bowel disease
rs1569723	Kawasaki disease
rs1570106	Height
rs1570669	Calcium levels
rs1571583	Thyroid hormone levels
rs1571878	Rheumatoid arthritis
rs1572072	Nasopharyngeal carcinoma
rs157580	Alzheimers disease
rs157580	LDL cholesterol
rs157582	Metabolic syndrome
rs157935	Basal cell carcinoma 
rs1582931	Height
rs1584468	Immune reponse to smallpox (secreted IL-12p40)
rs1588265	Asthma
rs1593	Activated partial thromboplastin time
rs1594829	Height
rs1605070	Amyotrophic lateral sclerosis (sporadic)
rs161645	Depression (quantitative trait)
rs1625579	Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)
rs1625579	Schizophrenia
rs1625895	Sex hormone-binding globulin levels
rs163182	Type 2 diabetes
rs163184	Type 2 diabetes
rs1633360	Rheumatoid arthritis
rs1635	Schizophrenia
rs1635501	Menopause (age at onset)
rs1635852	Height
rs1635852	Systemic lupus erythematosus and Systemic sclerosis
rs163879	Bone mineral density
rs1641537	Sex hormone-binding globulin levels
rs1648707	Adiponectin levels
rs1656402	Non-small cell lung cancer (survival)
rs1656404	Refractive error
rs1656966	Myopia (pathological)
rs1659127	Height
rs1659127	Menarche (age at onset)
rs1659258	Visceral fat
rs1667255	Retinol levels
rs1667394	Blond vs. brown hair color
rs1667394	Blue vs. brown eyes
rs1667394	Blue vs. green eyes
rs1667394	Eye color
rs1668357	Myopia (pathological)
rs1668871	Platelet counts
rs1668873	Mean platelet volume
rs1670533	Recombination rate (females)
rs1671152	Platelet aggregation
rs1678542	Rheumatoid arthritis
rs1679013	Chronic lymphocytic leukemia
rs16828074	Attention deficit hyperactivity disorder
rs16829840	Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid)
rs16830728	Adverse response to chemotherapy in breast cancer (alopecia)
rs16835742	Intelligence
rs16842559	C-reactive protein
rs16844401	Fibrinogen
rs16849225	Blood pressure
rs16850360	Metabolite levels
rs16850864	Immune reponse to smallpox (secreted IL-1beta)
rs16850885	Immune reponse to smallpox (secreted IL-1beta)
rs16851720	Hepatitis C induced liver fibrosis
rs16853722	Renal function-related traits (BUN)
rs16856247	Metabolite levels
rs16856332	Liver enzyme levels (alkaline phosphatase)
rs16857031	QT interval
rs16857609	Breast cancer
rs16861329	Type 2 diabetes
rs16861990	Venous thromboembolism
rs16862426	Methotrexate phramacokinetics (acute lymphoblastic leukemia)
rs16865717	Venous thromboembolism (gene x gene interaction)
rs16866933	Sudden cardiac arrest
rs16872571	Myopia (pathological)
rs16872571	Vitiligo
rs16875288	Functional impairment in major depressive disorder, bipolar disorder and schizophrenia
rs16879552	Hirschsprungs disease
rs16879765	Dupuytrens disease
rs16886034	Breast cancer (early onset)
rs16886113	Breast cancer (early onset)
rs16886181	Breast cancer (early onset)
rs16886364	Breast cancer (early onset)
rs16886397	Breast cancer (early onset)
rs16886448	Breast cancer (early onset)
rs16887244	Schizophrenia
rs16890334	Blood pressure measurement (high sodium and potassium intervention)
rs16890334	Blood pressure measurement (high sodium intervention)
rs16890979	Urate levels
rs16890979	Uric acid levels
rs16891077	Fasting insulin (interaction)
rs16891077	Homeostasis model assessment of insulin resistance (interaction)
rs16891867	Conduct disorder (symptom count)
rs16891982	Eye color
rs16891982	Hair color
rs16891982	Skin pigmentation
rs16892766	Colorectal cancer
rs16896068	Height
rs1689800	HDL cholesterol
rs16901979	Prostate cancer
rs16902094	Prostate cancer
rs16909898	Pulmonary function (interaction)
rs1692120	Phospholipid levels (plasma)
rs16921914	Bone mineral density (spine)
rs16926246	Glycated hemoglobin levels
rs16926246	Hematocrit
rs16926246	Hemoglobin
rs16928280	Immune response to measles-mumps-rubella vaccine
rs16929097	Asthma (childhood onset)
rs16933006	Obesity-related traits
rs16933812	Obesity and blood pressure
rs16938437	Menarche (age at onset)
rs16939881	Metabolite levels
rs16940186	Ulcerative colitis
rs16940202	Ulcerative colitis
rs16940212	HDL cholesterol
rs16942341	Height
rs16942421	Sudden cardiac arrest
rs16942887	HDL cholesterol
rs16948048	Diastolic blood pressure
rs16948098	Serum albumin level
rs16948200	Immune reponse to smallpox (secreted IL-2)
rs16948876	Leprosy
rs16953002	Melanoma
rs16964211	Height
rs16966952	Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid)
rs16966952	Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid)
rs16966952	Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)
rs16967103	Crohns disease
rs16971217	Mean platelet volume
rs1697421	Phosphorus levels
rs16991615	Menarche and menopause (age at onset)
rs16991615	Menopause (age at onset)
rs16993221	C-reactive protein and white blood cell count
rs16996148	LDL cholesterol
rs16996148	Triglycerides
rs16997087	Brain connectivity
rs16998073	Diastolic blood pressure
rs16999165	Atopic dermatitis
rs17000918	Immune reponse to smallpox (secreted IL-1beta)
rs17006292	Behcets disease
rs17007761	Immune reponse to smallpox (secreted IFN-alpha)
rs1701704	Alopecia areata
rs1701704	Asthma
rs1701704	Type 1 diabetes
rs1701704	Type 1 diabetes autoantibodies
rs170183	Bone mineral density
rs17018311	Temperament (bipolar disorder)
rs17021463	Testicular germ cell tumor
rs17021918	Prostate cancer
rs17022444	Response to antipsychotic therapy (extrapyramidal side effects)
rs17023900	Prostate cancer
rs17024258	Obesity
rs17024684	Brain connectivity
rs17028615	Serum metabolite levels
rs17030613	Blood pressure
rs17030845	Platelet counts
rs17031508	Blood pressure
rs17031671	Bilirubin levels
rs17034687	Disc degeneration (lumbar)
rs17035378	Celiac disease
rs17036170	Drug-induced liver injury 
rs17036350	Corneal curvature
rs17040773	Bone mineral density
rs17042171	Atrial fibrillation
rs17046216	Insulin-related traits
rs17050272	Urate levels
rs17065417	Neuroblastoma
rs17066096	Multiple sclerosis
rs1707420	Venous thromboembolism (gene x gene interaction)
rs17080102	Blood pressure
rs17081935	Height
rs1708299	Height
rs17083533	Heart rate
rs17084051	Corneal curvature
rs17085007	Inflammatory bowel disease
rs17085007	Ulcerative colitis
rs17085106	Orofacial clefts
rs17091905	Cardiovascular disease risk factors
rs170934	Multiple sclerosis
rs17094273	Tanning
rs17095355	Biliary atresia
rs17095830	Ankylosing spondylitis
rs17101394	Sphingolipid levels
rs17101923	Primary tooth development (number of teeth)
rs17101923	Primary tooth development (time to first tooth eruption)
rs17104363	Obesity-related traits
rs17106184	Type 2 diabetes
rs17108344	Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 3 peripheral neuropathy)
rs17109512	Aspartate aminotransferase 
rs17111684	LDL cholesterol
rs17114036	Coronary artery disease
rs17114036	Coronary artery disease or ischemic stroke
rs17114036	Coronary artery disease or large artery stroke
rs17114036	Coronary heart disease
rs17115100	Parkinsons disease
rs17119	Inflammatory bowel disease
rs17119461	Melanoma
rs17125944	Alzheimers disease (late onset)
rs17126232	Obesity
rs17135437	Response to citalopram treatment
rs17135875	Blood pressure measurement (cold pressor test)
rs17136627	Coronary arterial lesions in patients with Kawasaki disease
rs1713985	Age-related macular degeneration
rs17142067	End-stage coagulation
rs17142462	Immune reponse to smallpox (secreted IL-12p40)
rs17145713	Protein C levels
rs17145738	HDL cholesterol
rs17145738	Triglycerides
rs17145750	Liver enzyme levels (gamma-glutamyl transferase)
rs17146964	Vertical cup-disc ratio
rs17148090	Phospholipid levels (plasma)
rs17150703	Obesity (early onset extreme)
rs17157266	Chronic obstructive pulmonary disease-related biomarkers
rs17168526	Immune reponse to smallpox (secreted IL-1beta)
rs1717027	Blood pressure
rs17173637	HDL cholesterol
rs171748	Schizophrenia
rs17174870	Multiple sclerosis
rs17175227	Tuberculosis
rs17178006	Hippocampal volume
rs17181170	Prostate cancer
rs17183295	Refractive error
rs17188434	Menarche (age at onset)
rs1719271	Platelet counts
rs17207986	Ulcerative colitis
rs17216525	Triglycerides
rs17218161	Asthma (childhood onset)
rs17221417	Crohns disease
rs17228058	Self-reported allergy
rs17229285	Ulcerative colitis
rs17231212	Immune reponse to smallpox (secreted IL-10)
rs17234657	Crohns disease
rs17246404	Chronic lymphocytic leukemia
rs17249141	LDL cholesterol
rs17249754	Blood pressure
rs17251221	Calcium levels
rs172629	Mean corpuscular volume
rs17265703	Phosphorus levels
rs17268785	Menarche (age at onset)
rs17271883	Tumor biomarkers
rs1727313	Type 2 diabetes
rs17277546	Dehydroepiandrosterone sulphate levels
rs17277546	Metabolic traits
rs17279437	Urinary metabolites
rs17287293	Heart rate
rs17287293	Resting heart rate
rs1728785	Ulcerative colitis
rs1728918	Crohns disease
rs17291045	HIV-1 control
rs17293632	Crohns disease
rs17293632	Inflammatory bowel disease
rs17294280	Asthma and hay fever
rs17300741	Uric acid levels
rs17309827	Crohns disease
rs17310467	Hemostatic factors and hematological phenotypes
rs17318596	Height
rs17319721	Chronic kidney disease
rs17319721	Renal function and chronic kidney disease
rs17321515	Triglycerides
rs17331151	Immune reponse to smallpox (secreted IL-2)
rs17331332	Pulmonary function (interaction)
rs1733724	Electrocardiographic traits
rs1733724	QRS duration
rs17342717	Iron levels
rs17342717	Iron status biomarkers
rs17342717	Red blood cell traits
rs17346452	Height
rs17348299	IgG glycosylation
rs1734907	Inflammatory bowel disease
rs173539	Cardiovascular disease risk factors
rs173539	HDL Cholesterol - Triglycerides (HDLC-TG)
rs173539	HDL cholesterol
rs173539	Metabolic syndrome
rs173539	Metabolic syndrome (bivariate traits)
rs173539	Metabolite levels
rs17356664	Platelet counts
rs17356907	Breast cancer
rs1736020	Crohns disease
rs1736135	Crohns disease
rs17362588	Heart rate
rs17366568	Adiponectin levels
rs17367504	Blood pressure
rs17367504	Systolic blood pressure
rs17376456	Diabetic retinopathy 
rs1738074	Celiac disease
rs1738074	Multiple sclerosis
rs17381664	Obesity
rs17382202	Response to antipsychotic treatment
rs1738475	Height
rs17388568	Self-reported allergy
rs17391694	Crohns disease
rs17391694	Height
rs17391905	QRS duration
rs17393344	Alzheimers disease (cognitive decline)
rs17396340	Mean platelet volume
rs17398575	Carotid intima media thickness
rs17401966	Hepatocellular carcinoma
rs17404153	HDL cholesterol
rs17404153	LDL cholesterol
rs1741	Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid)
rs17410962	Triglycerides
rs1741344	Height
rs17421627	Retinal vascular caliber
rs17428471	Blood pressure
rs17444059	Immune response to smallpox vaccine (IL-6)
rs174448	Phospholipid levels (plasma)
rs17445836	Multiple sclerosis
rs174468	Phospholipid levels (plasma)
rs174479	Sphingolipid levels
rs17450420	Esophageal cancer  (alcohol interaction)
rs174535	Phospholipid levels (plasma)
rs174536	Phospholipid levels (plasma)
rs174538	Phospholipid levels (plasma)
rs174541	Metabolite levels
rs17454584	Allergic sensitization
rs174546	Cholesterol, total
rs174546	HDL cholesterol
rs174546	LDL cholesterol
rs174546	Triglycerides
rs174547	HDL cholesterol
rs174547	Lipid metabolism phenotypes
rs174547	Metabolic traits
rs174547	Metabolite levels
rs174547	Phospholipid levels (plasma)
rs174547	Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid)
rs174547	Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid)
rs174547	Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid)
rs174547	Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)
rs174547	Resting heart rate
rs174547	Triglycerides
rs174548	HDL cholesterol
rs174548	Hematology traits
rs174548	Metabolite levels
rs174548	Triglycerides
rs174549	Heart rate
rs174549	Metabolite levels
rs174550	Fasting glucose-related traits
rs174550	Fasting glucose-related traits (interaction with BMI)
rs174550	Phospholipid levels (plasma)
rs174550	Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid)
rs174550	Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)
rs174555	Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid)
rs17455577	Urinary metabolites (H-NMR features)
rs174570	Cholesterol, total
rs174570	LDL cholesterol
rs174574	Phospholipid levels (plasma)
rs174577	P wave duration
rs174601	Liver enzyme levels (alkaline phosphatase)
rs1746048	Coronary heart disease
rs1746048	Myocardial infarction (early onset)
rs17465637	Coronary heart disease
rs17465637	Myocardial infarction (early onset)
rs17470137	Aortic root size
rs17477177	Blood pressure
rs1748195	Triglycerides
rs17482078	Behcets disease
rs17482753	HDL cholesterol
rs17482753	Lipid traits
rs17483466	Chronic lymphocytic leukemia
rs17496332	Sex hormone-binding globulin levels
rs17504622	Schizophrenia
rs17505102	Acute lymphoblastic leukemia (childhood)
rs17511102	Height
rs17513503	IgE grass sensitization
rs1751492	Soluble leptin receptor levels
rs17526895	Cholesterol, total
rs17530068	Breast cancer
rs17536527	Glomerular filtration rate
rs17563	Primary tooth development (time to first tooth eruption)
rs17568628	Platelet counts
rs17582416	Crohns disease
rs17584499	Type 2 diabetes
rs1759645	Height
rs17606561	Phospholipid levels (plasma)
rs17608766	Blood pressure
rs17608766	QRS duration
rs17608766	Systolic blood pressure
rs17609240	Hematological parameters
rs17609940	Coronary heart disease
rs17616316	Red blood cell traits
rs17616434	Allergic sensitization
rs17617068	Resting heart rate
rs17625845	Breast size
rs17631303	Ovarian cancer in BRCA1 mutation carriers 
rs17632159	Urate levels
rs17632542	Prostate cancer
rs17632542	Serum prostate-specific antigen levels
rs1763510	Venous thromboembolism (gene x gene interaction)
rs17639215	Serum protein levels (sST2)
rs17646946	Common traits (Other)
rs17648524	Refractive error
rs17651119	Major depressive disorder
rs17655730	Mean platelet volume
rs17662626	Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)
rs17662626	Schizophrenia
rs17674580	Bladder cancer
rs1768208	Progressive supranuclear palsy
rs17690703	Idiopathic pulmonary fibrosis
rs17691888	Schizophrenia
rs17693963	Schizophrenia
rs17693963	Schizophrenia or bipolar disorder
rs17693963	Schizophrenia, schizoaffective disorder or bipolar disorder
rs17694108	Inflammatory bowel disease
rs17695092	Crohns disease
rs17695224	HDL cholesterol
rs17696736	Ischemic stroke
rs17696736	Type 1 diabetes
rs17700144	Obesity (early onset extreme)
rs17702901	Weight loss (gastric bypass surgery)
rs17711722	Calcium levels
rs17716942	Psoriasis
rs17718586	Sudden cardiac arrest
rs17718828	Phospholipid levels (plasma)
rs17723470	Thyroid hormone levels
rs17728338	Psoriasis
rs17730281	Renal function-related traits (BUN)
rs17730436	Renal function-related traits (eGRFcrea)
rs17730436	Renal function-related traits (sCR)
rs17740066	Aging (facial)
rs17761864	Esophageal cancer (squamous cell)
rs17767419	Thyroid volume
rs1776897	Height
rs17776563	Thyroid hormone levels
rs17779747	QT interval
rs17780086	Height
rs17782313	Body mass index
rs17782313	Height
rs17782313	Obesity
rs17786744	Urate levels
rs17788937	Myopia (pathological)
rs17791513	Type 2 diabetes
rs17796783	Heart rate
rs1780324	Liver enzyme levels
rs17806888	Height
rs17810546	Celiac disease
rs17817449	Breast cancer
rs17817449	Obesity
rs17817600	Alzheimers disease
rs17817964	Body mass index
rs17819300	Brain connectivity
rs17822114	Myopia (pathological)
rs17823642	Metabolite levels
rs17824620	Platelet counts
rs17824933	Multiple sclerosis
rs17826255	Myopia (pathological)
rs17826816	Bipolar disorder
rs1787200	Height
rs1789891	Alcohol dependence
rs1794275	IgA nephropathy
rs1795240	Lentiform nucleus volume 
rs1797052	Contrast sensitivity
rs1799853	Warfarin maintenance dose
rs1799884	Glycated hemoglobin levels
rs1799884	Glycemic traits
rs1799884	Metabolite levels
rs1799899	Alcohol consumption (transferrin glycosylation)
rs1799922	Primary tooth development (number of teeth)
rs1799945	Diastolic blood pressure
rs1799945	Hypertension
rs1799945	Iron levels
rs1799945	Systolic blood pressure
rs1799964	Crohns disease
rs1799969	Soluble ICAM-1
rs1799990	Creutzfeldt-Jakob disease
rs1800437	Obesity
rs1800562	Alcohol consumption (transferrin glycosylation)
rs1800562	Cardiovascular disease risk factors
rs1800562	Cholesterol, total
rs1800562	Glycated hemoglobin levels
rs1800562	Hematocrit
rs1800562	Hematological parameters
rs1800562	Hemoglobin
rs1800562	Hepcidin levels
rs1800562	Iron status biomarkers
rs1800562	LDL cholesterol
rs1800562	Mean corpuscular hemoglobin
rs1800562	Mean corpuscular volume
rs1800562	Red blood cell traits
rs1800588	HDL cholesterol
rs1800682	Chronic lymphocytic leukemia
rs1800693	Multiple sclerosis
rs1800693	Primary biliary cirrhosis
rs1800775	HDL cholesterol
rs1800775	Lipid metabolism phenotypes
rs1800775	Lipid traits
rs1800775	Triglycerides
rs1800788	Fibrinogen
rs1800789	Fibrinogen
rs1800871	Behcets disease
rs1800961	C-reactive protein
rs1800961	Cholesterol, total
rs1800961	HDL cholesterol
rs1801133	Homocysteine levels
rs1801214	Type 2 diabetes
rs1801222	Folate pathway vitamin levels
rs1801222	Homocysteine levels
rs1801239	Urinary albumin excretion
rs1801253	Birth weight
rs1801274	Inflammatory bowel disease
rs1801274	Kawasaki disease
rs1801274	Ulcerative colitis
rs1801282	Type 2 diabetes
rs1801516	Melanoma
rs1801689	LDL cholesterol
rs1801725	Calcium levels
rs1802295	Type 2 diabetes
rs180242	Heart rate
rs1803274	Butyrylcholinesterase levels
rs1803274	Cardiovascular disease risk factors
rs1805007	Basal cell carcinoma 
rs1805007	Blond vs. brown hair color
rs1805007	Freckles
rs1805007	Hair color
rs1805007	Non-melanoma skin cancer
rs1805007	Red vs non-red hair color
rs1805007	Skin sensitivity to sun
rs1805007	Sunburns
rs1805007	Tanning
rs1805017	Lipoprotein-associated phospholipase A2 activity and mass
rs1805096	C-reactive protein
rs1805126	Electrocardiographic conduction measures
rs180515	Multiple sclerosis
rs1812175	Height
rs181359	Crohns disease
rs181362	HDL cholesterol
rs1814175	Height
rs181881383	Ejection fraction in Tripanosoma cruzi seropositivity
rs1819333	Inflammatory bowel disease
rs1819658	Crohns disease
rs182052	Adiponectin levels
rs1823068	Sleep-related phenotypes
rs1830084	Iron status biomarkers
rs1831282	Age-related macular degeneration
rs1831282	Age-related macular degeneration (extreme sampling)
rs1832007	Triglycerides
rs183211	Ovarian cancer in BRCA1 mutation carriers 
rs1834481	Interleukin-18 levels
rs1834640	Skin pigmentation
rs1835740	Migraine
rs1837253	Asthma
rs1837253	Asthma and hay fever
rs1842896	Coronary heart disease
rs1847134	Eye color
rs1847472	Crohns disease
rs1847472	Inflammatory bowel disease
rs1851024	Metabolite levels
rs1854853	Rheumatoid arthritis
rs1858037	Rheumatoid arthritis
rs185819	Height
rs1859962	Prostate cancer
rs1861046	Conduct disorder
rs1861612	Type 2 diabetes
rs1864163	Age-related macular degeneration
rs1864163	HDL cholesterol
rs1864163	Lipid metabolism phenotypes
rs1864729	Estradiol plasma levels (breast cancer)
rs1868152	Illicit drug use
rs1871859	Bone mineral density
rs1876040	Cognitive performance
rs1876518	Celiac disease and Rheumatoid arthritis
rs1877030	Rheumatoid arthritis
rs1877455	Autism
rs1878406	Carotid intima media thickness
rs1878526	Bone mineral density
rs1878528	Height
rs1880887	Protein quantitative trait loci
rs1881492	Refractive error
rs1883025	Cholesterol, total
rs1883025	HDL cholesterol
rs1883025	Metabolic syndrome
rs1883414	Nephropathy
rs1883415	Liver enzyme levels (alkaline phosphatase)
rs1884139	Serum dimethylarginine levels (symmetric)
rs1884302	Sagittal craniosynostosis
rs1885486	Height
rs1886512	QRS duration
rs1892534	C-reactive protein
rs1893217	Celiac disease
rs1893217	Celiac disease and Rheumatoid arthritis
rs1893217	Crohns disease
rs1893217	Inflammatory bowel disease
